split_type,cell_line,model,full_combination,ablated_environment,reduced_combination,r2_full,r2_reduced,delta_r2_ablation,delta_rmse_ablation,n_paired,status,warning
all,hela,cnn(7|3),sequence_dnase_rrbs,rrbs,sequence_dnase,-0.0127363160040268,-0.0134122567974623,-0.0006759407934354995,6.11411610673962e-05,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,-0.0311135581639818,-0.0255413417124774,0.005572216451504401,-0.0005002744542325077,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,-0.0341198828357598,-0.0255413417124774,0.0085785411232824,-0.0007696214179035155,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,-0.0346839021451204,-0.0255413417124774,0.009142560432642999,-0.0008201102108404967,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_rrbs,ctcf,sequence_rrbs,-0.0363772129710078,-0.0207802594393846,0.0155969535316232,-0.0014001346149601912,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_dnase_rrbs,dnase,sequence_rrbs,-0.0127363160040268,-0.0207802594393846,-0.0080439434353578,0.0007262843090239945,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,-0.0346839021451204,-0.0207802594393846,0.013903642705735797,-0.0012486386986008957,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,-0.0227338361424802,-0.0317947434960903,-0.0090609073536101,0.0008139117435317089,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,-0.0170522681961537,-0.0317947434960903,-0.014742475299936601,0.0013261086770068042,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,-0.0227338361424802,-0.0311135581639818,-0.008379722021501598,0.0007528476387780036,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.0023943939542844,-0.0311135581639818,-0.0335079521182662,0.003029091511862897,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,-0.0170522681961537,-0.0363772129710078,-0.0193249447748541,0.0017363762452203835,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.0023943939542844,-0.0363772129710078,-0.038771606925292204,0.0035004231848301814,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,-0.0227338361424802,-0.0341198828357598,-0.011386046693279597,0.0010221946024490114,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,-0.0273118881286928,-0.0341198828357598,-0.006807994707067,0.000610514497683623,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,-0.0170522681961537,-0.0127363160040268,0.004315952192126899,-0.0003900426787638023,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,-0.0273118881286928,-0.0127363160040268,0.014575572124665998,-0.001313919717004286,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.0023943939542844,-0.0346839021451204,-0.0370782960994048,0.003348927268470886,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,-0.0273118881286928,-0.0346839021451204,-0.0073720140164275985,0.0006610032906206043,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),all,rrbs,sequence_ctcf_dnase_h3k4me3,-0.0130363784492644,-0.0227338361424802,-0.009697457693215802,0.0008750954181951098,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),all,h3k4me3,sequence_ctcf_dnase_rrbs,-0.0130363784492644,-0.0170522681961537,-0.0040158897468893,0.0003628984847200145,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),all,dnase,sequence_ctcf_h3k4me3_rrbs,-0.0130363784492644,0.0023943939542844,0.015430772403548799,-0.0014011484548897835,1,ok,CI_UNAVAILABLE
all,hela,cnn(7|3),all,ctcf,sequence_dnase_h3k4me3_rrbs,-0.0130363784492644,-0.0273118881286928,-0.0142755096794284,0.0012867755229604982,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf,ctcf,sequence,0.012236106454436,0.0072913415860579,-0.004944764868378099,0.00045239962060730776,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase,dnase,sequence,0.0063447962672519,0.0072913415860579,0.0009465453188059999,-8.647143855869399e-05,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_h3k4me3,h3k4me3,sequence,0.0088996274961405,0.0072913415860579,-0.0016082859100826005,0.00014701918938481162,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_rrbs,rrbs,sequence,-9.403728939316736e-05,0.0072913415860579,0.007385378875451067,-0.0006735999355667877,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase,dnase,sequence_ctcf,0.0102914020449249,0.012236106454436,0.0019447044095110989,-0.00017805701503550986,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.013323211181806,0.012236106454436,-0.0010871047273700012,9.961162336469265e-05,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_rrbs,rrbs,sequence_ctcf,0.003795957560104,0.012236106454436,0.008440148894331999,-0.0007715150968135853,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase,ctcf,sequence_dnase,0.0102914020449249,0.0063447962672519,-0.003946605777673,0.0003608140441304919,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,0.0089260629100186,0.0063447962672519,-0.0025812666427667006,0.00023590818011551273,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_rrbs,rrbs,sequence_dnase,-0.0005628963171371,0.0063447962672519,0.006907692584389,-0.0006298077329885965,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.013323211181806,0.0088996274961405,-0.0044235836856655,0.0004049920545871888,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,0.0089260629100186,0.0088996274961405,-2.6435413878100195e-05,2.4175521720071202e-06,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,0.0014987674009545,0.0088996274961405,0.007400860095186,-0.0006755547419252939,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_rrbs,ctcf,sequence_rrbs,0.003795957560104,-9.403728939316736e-05,-0.0038899948494971674,0.0003544844593605101,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_rrbs,dnase,sequence_rrbs,-0.0005628963171371,-9.403728939316736e-05,0.00046885902774393266,-4.267923598050283e-05,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,0.0014987674009545,-9.403728939316736e-05,-0.0015928046903476675,0.00014506438302630542,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,0.0130473558483819,0.0102914020449249,-0.002755953803456999,0.00025238676559541373,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,0.0026160080084578,0.0102914020449249,0.0076753940364671005,-0.000701056630071778,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,0.0130473558483819,0.013323211181806,0.000275855333424101,-2.5281872804788774e-05,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.0057752381999965,0.013323211181806,0.007547972981809501,-0.0006904946875956885,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,0.0026160080084578,0.003795957560104,0.0011799495516462,-0.00010759854829370252,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.0057752381999965,0.003795957560104,-0.0019792806398924996,0.00018063203258258942,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,0.0130473558483819,0.0089260629100186,-0.004121292938363299,0.0003772926296103929,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,-0.0001698569780728,0.0089260629100186,0.0090959198880914,-0.0008299390594518063,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,0.0026160080084578,-0.0005628963171371,-0.0031789043255948998,0.0002895651470473104,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,-0.0001698569780728,-0.0005628963171371,-0.00039303933906430005,3.5776853652302876e-05,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.0057752381999965,0.0014987674009545,-0.004276470799041999,0.0003900521089167941,1,ok,CI_UNAVAILABLE
all,hela,linear,sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,-0.0001698569780728,0.0014987674009545,0.0016686243790273,-0.00015196676535450537,1,ok,CI_UNAVAILABLE
all,hela,linear,all,rrbs,sequence_ctcf_dnase_h3k4me3,0.0052225013039151,0.0130473558483819,0.0078248545444668,-0.0007156744690577921,1,ok,CI_UNAVAILABLE
all,hela,linear,all,h3k4me3,sequence_ctcf_dnase_rrbs,0.0052225013039151,0.0026160080084578,-0.0026064932954572998,0.00023776892660939963,1,ok,CI_UNAVAILABLE
all,hela,linear,all,dnase,sequence_ctcf_h3k4me3_rrbs,0.0052225013039151,0.0057752381999965,0.0005527368960813999,-5.046165426689231e-05,1,ok,CI_UNAVAILABLE
all,hela,linear,all,ctcf,sequence_dnase_h3k4me3_rrbs,0.0052225013039151,-0.0001698569780728,-0.0053923582819879,0.0004915572200044072,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf,ctcf,sequence,-0.0013966687993729,0.0045421656433898,0.005938834442762699,-0.0005411144733040996,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase,dnase,sequence,-0.0003009284653001,0.0045421656433898,0.0048430941086899,-0.00044139749881880186,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_h3k4me3,h3k4me3,sequence,0.0028485424919026,0.0045421656433898,0.0016936231514871995,-0.00015447791812470135,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_rrbs,rrbs,sequence,5.9293628670298304e-05,0.0045421656433898,0.004482872014719501,-0.00040860384715279974,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase,dnase,sequence_ctcf,-0.0013376460115825,-0.0013966687993729,-5.902278779039991e-05,5.3699310753052565e-06,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,-0.0062136853305478,-0.0013966687993729,0.0048170165311749,-0.0004377230315137093,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_rrbs,rrbs,sequence_ctcf,-0.0020217353277616,-0.0013966687993729,0.0006250665283887003,-5.68592441018978e-05,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase,ctcf,sequence_dnase,-0.0013376460115825,-0.0003009284653001,0.0010367175462824,-9.434704340999245e-05,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,-0.0081163587178925,-0.0003009284653001,0.0078154302525924,-0.0007100474968990966,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_rrbs,rrbs,sequence_dnase,-0.0155867806478517,-0.0003009284653001,0.015285852182551601,-0.0013861820506292089,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,-0.0062136853305478,0.0028485424919026,0.0090622278224504,-0.0008243595866931075,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,-0.0081163587178925,0.0028485424919026,0.0109649012097951,-0.0009969670775931971,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,0.0021353422087269,0.0028485424919026,0.0007132002831757001,-6.501281518708768e-05,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_rrbs,ctcf,sequence_rrbs,-0.0020217353277616,5.9293628670298304e-05,0.0020810289564318985,-0.00018936987025319763,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_rrbs,dnase,sequence_rrbs,-0.0155867806478517,5.9293628670298304e-05,0.015646074276522,-0.001418975702295211,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,0.0021353422087269,5.9293628670298304e-05,-0.0020760485800566018,0.0001891131138410107,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,0.0030477898305962,-0.0013376460115825,-0.0043854358421787,0.000399433461383103,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,-0.0011283589604662,-0.0013376460115825,-0.00020928705111630005,1.904234572880359e-05,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,0.0030477898305962,-0.0062136853305478,-0.009261475161143999,0.0008425264239721175,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,-0.0111670958415825,-0.0062136853305478,0.0049534105110347,-0.00044902587887349354,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,-0.0011283589604662,-0.0020217353277616,-0.0008933763672954002,8.127152090600664e-05,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,-0.0111670958415825,-0.0020217353277616,0.0091453605138209,-0.000829889666285305,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,0.0030477898305962,-0.0081163587178925,-0.0111641485484887,0.0010151339148722072,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,-0.0102328704356067,-0.0081163587178925,0.0021165117177142003,-0.00019181529887629667,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,-0.0011283589604662,-0.0155867806478517,-0.014458421687385502,0.00131087735294802,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,-0.0102328704356067,-0.0155867806478517,-0.005353910212245001,0.00048431925485381555,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,-0.0111670958415825,0.0021353422087269,0.0133024380503094,-0.0012083726503795134,1,ok,CI_UNAVAILABLE
all,hela,mlp,sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,-0.0102328704356067,0.0021353422087269,0.0123682126443336,-0.0011237695612824061,1,ok,CI_UNAVAILABLE
all,hela,mlp,all,rrbs,sequence_ctcf_dnase_h3k4me3,6.172579955410207e-05,0.0030477898305962,0.002986064031042098,-0.0002720713279301956,1,ok,CI_UNAVAILABLE
all,hela,mlp,all,h3k4me3,sequence_ctcf_dnase_rrbs,6.172579955410207e-05,-0.0011283589604662,-0.001190084760020302,0.00010831978772410378,1,ok,CI_UNAVAILABLE
all,hela,mlp,all,dnase,sequence_ctcf_h3k4me3_rrbs,6.172579955410207e-05,-0.0111670958415825,-0.011228821641136602,0.0010194809749154154,1,ok,CI_UNAVAILABLE
all,hela,mlp,all,ctcf,sequence_dnase_h3k4me3_rrbs,6.172579955410207e-05,-0.0102328704356067,-0.010294596235160802,0.0009348778858183082,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf,ctcf,sequence,-0.0049125452648446,-0.006561778466817,-0.0016492332019723997,0.00014972196617349387,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase,dnase,sequence,-0.0094110133306926,-0.006561778466817,0.0028492348638755995,-0.00025837273802631344,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_h3k4me3,h3k4me3,sequence,-0.0014977746517625,-0.006561778466817,-0.0050640038150545,0.00046011536648468687,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_rrbs,rrbs,sequence,-0.0056952057079191,-0.006561778466817,-0.0008665727588978997,7.865457405317744e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase,dnase,sequence_ctcf,6.591056004368046e-05,-0.0049125452648446,-0.004978455824888281,0.0004527047769188053,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,0.0008435595251968,-0.0049125452648446,-0.0057561047900414,0.0005235202300092057,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_rrbs,rrbs,sequence_ctcf,-0.0049892884320288,-0.0049125452648446,7.674316718419942e-05,-6.9696819124109854e-06,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase,ctcf,sequence_dnase,6.591056004368046e-05,-0.0094110133306926,-0.00947692389073628,0.0008607994811186126,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,-0.0028485488614597,-0.0094110133306926,-0.0065624644692328996,0.000595643223126302,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_rrbs,rrbs,sequence_dnase,-0.0103307649912158,-0.0094110133306926,0.0009197516605232003,-8.332653636089482e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,0.0008435595251968,-0.0014977746517625,-0.0023413341769593,0.00021312682969801267,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,-0.0028485488614597,-0.0014977746517625,0.0013507742096971998,-0.0001228448813846983,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,-0.0083552290678383,-0.0014977746517625,0.0068574544160757995,-0.0006227906390539883,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_rrbs,ctcf,sequence_rrbs,-0.0049892884320288,-0.0056952057079191,-0.0007059172758903005,6.409771020790545e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_rrbs,dnase,sequence_rrbs,-0.0103307649912158,-0.0056952057079191,0.0046355592832966995,-0.0004203538484403857,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,-0.0083552290678383,-0.0056952057079191,0.0026600233599191996,-0.00024132984662247892,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,-0.0009920168636887,6.591056004368046e-05,0.0010579274237323805,-9.629439912189897e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,-0.0002430249310438,6.591056004368046e-05,0.00030893549108748045,-2.812511070560131e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,-0.0009920168636887,0.0008435595251968,0.0018355763888855,-0.00016710985221229935,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,0.0010950211497445,0.0008435595251968,-0.00025146162454770004,2.2904876964296994e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,-0.0002430249310438,-0.0049892884320288,-0.004746263500985,0.00043154934812561496,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_h3k4me3_rrbs,h3k4me3,sequence_ctcf_rrbs,0.0010950211497445,-0.0049892884320288,-0.006084309581773299,0.0005533947888859136,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase_h3k4me3,ctcf,sequence_dnase_h3k4me3,-0.0009920168636887,-0.0028485488614597,-0.0018565319977709997,0.0001688618588704116,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_h3k4me3_rrbs,rrbs,sequence_dnase_h3k4me3,-0.002538114499629,-0.0028485488614597,-0.0003104343618307,2.8224833566292684e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_dnase_rrbs,ctcf,sequence_dnase_rrbs,-0.0002430249310438,-0.0103307649912158,-0.010087740060171999,0.0009160009067739061,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_h3k4me3_rrbs,h3k4me3,sequence_dnase_rrbs,-0.002538114499629,-0.0103307649912158,-0.0077926504915868,0.0007071945930534895,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_ctcf_h3k4me3_rrbs,ctcf,sequence_h3k4me3_rrbs,0.0010950211497445,-0.0083552290678383,-0.0094502502175828,0.000858822345716298,1,ok,CI_UNAVAILABLE
all,hela,transformer,sequence_dnase_h3k4me3_rrbs,dnase,sequence_h3k4me3_rrbs,-0.002538114499629,-0.0083552290678383,-0.0058171145682093,0.0005281705912355827,1,ok,CI_UNAVAILABLE
all,hela,transformer,all,rrbs,sequence_ctcf_dnase_h3k4me3,-0.0007337336142057,-0.0009920168636887,-0.0002582832494830001,2.3504694834391993e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,all,h3k4me3,sequence_ctcf_dnase_rrbs,-0.0007337336142057,-0.0002430249310438,0.0004907086831619,-4.4664593581905665e-05,1,ok,CI_UNAVAILABLE
all,hela,transformer,all,dnase,sequence_ctcf_h3k4me3_rrbs,-0.0007337336142057,0.0010950211497445,0.0018287547639502001,-0.00016651003434220435,1,ok,CI_UNAVAILABLE
all,hela,transformer,all,ctcf,sequence_dnase_h3k4me3_rrbs,-0.0007337336142057,-0.002538114499629,-0.0018043808854232997,0.00016414172013851092,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf,ctcf,sequence,-0.005123696814169,0.0017708616812232,0.0068945584953922,-0.0006271754406260155,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_dnase,dnase,sequence,-0.0006587516239071,0.0017708616812232,0.0024296133051303,-0.00022126039403372322,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_h3k4me3,h3k4me3,sequence,-0.007043856013625,0.0017708616812232,0.0088147176948482,-0.0008014627954036069,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_rrbs,rrbs,sequence,-0.0072453533658123,0.0017708616812232,0.0090162150470355,-0.0008197424966474021,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_dnase,dnase,sequence_ctcf,-0.005123696814169,-0.005123696814169,-0.0,-0.0,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_h3k4me3,h3k4me3,sequence_ctcf,-0.0022142638087052,-0.005123696814169,-0.0029094330054638,0.00026439844038181337,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_rrbs,rrbs,sequence_ctcf,-0.0082172847919246,-0.005123696814169,0.0030935879777556005,-0.00028071433770310295,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_dnase,ctcf,sequence_dnase,-0.005123696814169,-0.0006587516239071,0.0044649451902619,-0.00040591504659229227,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_dnase_h3k4me3,h3k4me3,sequence_dnase,0.0022700019937399,-0.0006587516239071,-0.002928753617647,0.00026674950924682195,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_dnase_rrbs,rrbs,sequence_dnase,-0.0071365422404581,-0.0006587516239071,0.006477790616551,-0.0005886110592494831,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_h3k4me3,ctcf,sequence_h3k4me3,-0.0022142638087052,-0.007043856013625,-0.0048295922049198,0.00043868579515940476,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_dnase_h3k4me3,dnase,sequence_h3k4me3,0.0022700019937399,-0.007043856013625,-0.0093138580073649,0.0008469519106167056,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_h3k4me3_rrbs,rrbs,sequence_h3k4me3,-0.0046657189765086,-0.007043856013625,-0.0023781370371164,0.00021588127458618822,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_rrbs,ctcf,sequence_rrbs,-0.0082172847919246,-0.0072453533658123,0.0009719314261123005,-8.814728168171637e-05,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_dnase_rrbs,dnase,sequence_rrbs,-0.0071365422404581,-0.0072453533658123,-0.00010881112535420043,9.871043364195753e-06,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_h3k4me3_rrbs,h3k4me3,sequence_rrbs,-0.0046657189765086,-0.0072453533658123,-0.0025796343893037003,0.0002341609758299834,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_dnase_h3k4me3,h3k4me3,sequence_ctcf_dnase,-0.00224733002927,-0.005123696814169,-0.002876366784899,0.00026139135090311183,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_dnase_rrbs,rrbs,sequence_ctcf_dnase,-0.0082172847919246,-0.005123696814169,0.0030935879777556005,-0.00028071433770310295,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_dnase_h3k4me3,dnase,sequence_ctcf_h3k4me3,-0.00224733002927,-0.0022142638087052,3.306622056479993e-05,-3.007089478701541e-06,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_h3k4me3_rrbs,rrbs,sequence_ctcf_h3k4me3,-0.0037601091857131,-0.0022142638087052,0.0015458453770078998,-0.00014052838524980515,1,ok,CI_UNAVAILABLE
all,hela,xgboost,sequence_ctcf_dnase_rrbs,dnase,sequence_ctcf_rrbs,-0.0082172847919246,-0.0082172847919246,-0.0,-0.0,1,ok,CI_UNAVAILABLE
