split_type,cell_line,model,factor_a,factor_b,interaction_r2,n_seeds,n_with_b,n_without_b
single,hl60,mlp,h3k4me3,rrbs,-0.035621,1,4.0,4.0
single,hl60,transformer,ctcf,dnase,0.012361,1,4.0,4.0
single,hl60,transformer,ctcf,h3k4me3,0.003326,1,4.0,4.0
single,hl60,transformer,ctcf,rrbs,0.008799,1,4.0,4.0
single,hl60,transformer,dnase,h3k4me3,-0.007746,1,4.0,4.0
single,hl60,transformer,dnase,rrbs,-0.008383,1,4.0,4.0
single,hl60,transformer,h3k4me3,rrbs,-0.007898,1,4.0,4.0
single,hl60,xgboost,ctcf,dnase,-0.008937,1,4.0,4.0
single,hl60,xgboost,ctcf,h3k4me3,-0.00478,1,4.0,4.0
single,hl60,xgboost,ctcf,rrbs,0.001588,1,4.0,4.0
single,hl60,xgboost,dnase,h3k4me3,-0.001914,1,4.0,4.0
single,hl60,xgboost,dnase,rrbs,0.000674,1,4.0,4.0
single,hl60,xgboost,h3k4me3,rrbs,-0.005591,1,4.0,4.0
