run_name,model,split_type,cell_line,cell_lines,environment,random_seed,sequence_kernel,input_shape_train,input_shape_valid,input_shape_test,R2
single_hct116_cnn_sequence_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_h3k4me3_rrbs,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0505701465113975
single_hek293t_cnn_sequence_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_h3k4me3_rrbs,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0415348953129103
single_hela_cnn_sequence_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hela,['hela'],sequence_h3k4me3_rrbs,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.104671613014687
single_hl60_cnn_sequence_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_h3k4me3_rrbs,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0608374350788255
single_hct116_cnn_sequence_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_h3k4me3_rrbs,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0901114452818971
single_hek293t_cnn_sequence_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_h3k4me3_rrbs,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0146465348449255
single_hela_cnn_sequence_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hela,['hela'],sequence_h3k4me3_rrbs,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1191316336846459
single_hl60_cnn_sequence_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_h3k4me3_rrbs,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.1003923355420985
single_hct116_transformer_sequence_h3k4me3_rrbs,transformer,single,hct116,['hct116'],sequence_h3k4me3_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0304421204738597
single_hek293t_transformer_sequence_h3k4me3_rrbs,transformer,single,hek293t,['hek293t'],sequence_h3k4me3_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0287838833526943
single_hela_transformer_sequence_h3k4me3_rrbs,transformer,single,hela,['hela'],sequence_h3k4me3_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1275358279463105
single_hl60_transformer_sequence_h3k4me3_rrbs,transformer,single,hl60,['hl60'],sequence_h3k4me3_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.1064710787584579
single_hct116_linear_sequence_ctcf_dnase_h3k4me3,linear,single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,3,"[2967, 184]","[635, 184]","[637, 184]",-1.3546950569585856e+16
single_hek293t_linear_sequence_ctcf_dnase_h3k4me3,linear,single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0332096880812771
single_hela_linear_sequence_ctcf_dnase_h3k4me3,linear,single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",-1452223609049.2551
single_hl60_linear_sequence_ctcf_dnase_h3k4me3,linear,single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,3,"[1453, 184]","[311, 184]","[312, 184]",-1529912090957355.2
single_hct116_xgboost_sequence_ctcf_dnase_h3k4me3,xgboost,single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1211365204915009
single_hek293t_xgboost_sequence_ctcf_dnase_h3k4me3,xgboost,single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0620872510906784
single_hela_xgboost_sequence_ctcf_dnase_h3k4me3,xgboost,single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1167940779776958
single_hl60_xgboost_sequence_ctcf_dnase_h3k4me3,xgboost,single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1435663317779082
single_hct116_mlp_sequence_ctcf_dnase_h3k4me3,mlp,single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0562313311243322
single_hek293t_mlp_sequence_ctcf_dnase_h3k4me3,mlp,single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0533033694801218
single_hela_mlp_sequence_ctcf_dnase_h3k4me3,mlp,single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1030536592729491
single_hl60_mlp_sequence_ctcf_dnase_h3k4me3,mlp,single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.0932740754614308
single_hct116_cnn_sequence_ctcf_dnase_h3k4me3_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",-0.0197175434113507
single_hek293t_cnn_sequence_ctcf_dnase_h3k4me3_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0295797128607866
single_hela_cnn_sequence_ctcf_dnase_h3k4me3_kernel_3,cnn(3|3),single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0507208205076851
single_hl60_cnn_sequence_ctcf_dnase_h3k4me3_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0910751258389809
single_hct116_cnn_sequence_ctcf_dnase_h3k4me3_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0759739568849134
single_hek293t_cnn_sequence_ctcf_dnase_h3k4me3_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0332195025455481
single_hela_cnn_sequence_ctcf_dnase_h3k4me3_kernel_5,cnn(5|3),single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0945532663534545
single_hl60_cnn_sequence_ctcf_dnase_h3k4me3_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0437569770052681
single_hct116_cnn_sequence_ctcf_dnase_h3k4me3_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0614267130350185
single_hek293t_cnn_sequence_ctcf_dnase_h3k4me3_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0651831843334417
single_hela_cnn_sequence_ctcf_dnase_h3k4me3_kernel_7,cnn(7|3),single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.124583412892135
single_hl60_cnn_sequence_ctcf_dnase_h3k4me3_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0728304417021757
single_hct116_transformer_sequence_ctcf_dnase_h3k4me3,transformer,single,hct116,['hct116'],sequence_ctcf_dnase_h3k4me3,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.056800997378401
single_hek293t_transformer_sequence_ctcf_dnase_h3k4me3,transformer,single,hek293t,['hek293t'],sequence_ctcf_dnase_h3k4me3,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0309505283999059
single_hela_transformer_sequence_ctcf_dnase_h3k4me3,transformer,single,hela,['hela'],sequence_ctcf_dnase_h3k4me3,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1046256718668627
single_hl60_transformer_sequence_ctcf_dnase_h3k4me3,transformer,single,hl60,['hl60'],sequence_ctcf_dnase_h3k4me3,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.063030478288124
single_hct116_linear_sequence_ctcf_dnase_rrbs,linear,single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0787038906991125
single_hek293t_linear_sequence_ctcf_dnase_rrbs,linear,single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0550728367028585
single_hela_linear_sequence_ctcf_dnase_rrbs,linear,single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",-1356427678205.5952
single_hl60_linear_sequence_ctcf_dnase_rrbs,linear,single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",-1999812981441472.8
single_hct116_xgboost_sequence_ctcf_dnase_rrbs,xgboost,single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1116828512869808
single_hek293t_xgboost_sequence_ctcf_dnase_rrbs,xgboost,single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0430476199003342
single_hela_xgboost_sequence_ctcf_dnase_rrbs,xgboost,single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1223037271138499
single_hl60_xgboost_sequence_ctcf_dnase_rrbs,xgboost,single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1401427804515577
single_hct116_mlp_sequence_ctcf_dnase_rrbs,mlp,single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0717827707386219
single_hek293t_mlp_sequence_ctcf_dnase_rrbs,mlp,single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0184316045124
single_hela_mlp_sequence_ctcf_dnase_rrbs,mlp,single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.0986843778489293
single_hl60_mlp_sequence_ctcf_dnase_rrbs,mlp,single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.0883413158360604
single_hct116_cnn_sequence_ctcf_dnase_rrbs_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0365859232895255
single_hek293t_cnn_sequence_ctcf_dnase_rrbs_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.037892130809083
single_hela_cnn_sequence_ctcf_dnase_rrbs_kernel_3,cnn(3|3),single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0626428560286871
single_hl60_cnn_sequence_ctcf_dnase_rrbs_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.016994295659491
single_hct116_cnn_sequence_ctcf_dnase_rrbs_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0528368201146404
single_hek293t_cnn_sequence_ctcf_dnase_rrbs_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.057211661561188
single_hela_cnn_sequence_ctcf_dnase_rrbs_kernel_5,cnn(5|3),single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0999924052446213
single_hl60_cnn_sequence_ctcf_dnase_rrbs_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0638005708212252
single_hct116_cnn_sequence_ctcf_dnase_rrbs_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0540671127981342
single_hek293t_cnn_sequence_ctcf_dnase_rrbs_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0835615253830821
single_hela_cnn_sequence_ctcf_dnase_rrbs_kernel_7,cnn(7|3),single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1183245470531773
single_hl60_cnn_sequence_ctcf_dnase_rrbs_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.067201018141571
single_hct116_transformer_sequence_ctcf_dnase_rrbs,transformer,single,hct116,['hct116'],sequence_ctcf_dnase_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0456260568212575
single_hek293t_transformer_sequence_ctcf_dnase_rrbs,transformer,single,hek293t,['hek293t'],sequence_ctcf_dnase_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0564006013360582
single_hela_transformer_sequence_ctcf_dnase_rrbs,transformer,single,hela,['hela'],sequence_ctcf_dnase_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1119843934527549
single_hl60_transformer_sequence_ctcf_dnase_rrbs,transformer,single,hl60,['hl60'],sequence_ctcf_dnase_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0686787044765097
single_hct116_linear_sequence_ctcf_h3k4me3_rrbs,linear,single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.087986282733748
single_hek293t_linear_sequence_ctcf_h3k4me3_rrbs,linear,single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0788593763558263
single_hela_linear_sequence_ctcf_h3k4me3_rrbs,linear,single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",-4095684422461.5977
single_hl60_linear_sequence_ctcf_h3k4me3_rrbs,linear,single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1079119264228729
single_hct116_xgboost_sequence_ctcf_h3k4me3_rrbs,xgboost,single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1047015007270346
single_hek293t_xgboost_sequence_ctcf_h3k4me3_rrbs,xgboost,single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0526308047050873
single_hela_xgboost_sequence_ctcf_h3k4me3_rrbs,xgboost,single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1229909225241513
single_hl60_xgboost_sequence_ctcf_h3k4me3_rrbs,xgboost,single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1414442807899765
single_hct116_mlp_sequence_ctcf_h3k4me3_rrbs,mlp,single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.0634050593768859
single_hek293t_mlp_sequence_ctcf_h3k4me3_rrbs,mlp,single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0271816921933433
single_hela_mlp_sequence_ctcf_h3k4me3_rrbs,mlp,single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1035508866582046
single_hl60_mlp_sequence_ctcf_h3k4me3_rrbs,mlp,single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.0775869257541328
single_hct116_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0117694889307383
single_hek293t_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.064624235143499
single_hela_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0454545662982245
single_hl60_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0797641733775641
single_hct116_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0531028820220775
single_hek293t_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0292241682542399
single_hela_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.087634831150043
single_hl60_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.045627598843588
single_hct116_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0648916087625258
single_hek293t_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0692220612693222
single_hela_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1233347832704354
single_hl60_cnn_sequence_ctcf_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0746812159371587
single_hct116_transformer_sequence_ctcf_h3k4me3_rrbs,transformer,single,hct116,['hct116'],sequence_ctcf_h3k4me3_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.040556591425869
single_hek293t_transformer_sequence_ctcf_h3k4me3_rrbs,transformer,single,hek293t,['hek293t'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0358537489535296
single_hela_transformer_sequence_ctcf_h3k4me3_rrbs,transformer,single,hela,['hela'],sequence_ctcf_h3k4me3_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.117058926802968
single_hl60_transformer_sequence_ctcf_h3k4me3_rrbs,transformer,single,hl60,['hl60'],sequence_ctcf_h3k4me3_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.1038241002100404
single_hct116_linear_sequence_dnase_h3k4me3_rrbs,linear,single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",-44225039176.06779
single_hek293t_linear_sequence_dnase_h3k4me3_rrbs,linear,single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0515109224778274
single_hela_linear_sequence_dnase_h3k4me3_rrbs,linear,single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.0992239432354776
single_hl60_linear_sequence_dnase_h3k4me3_rrbs,linear,single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",-16044192491493.611
single_hct116_xgboost_sequence_dnase_h3k4me3_rrbs,xgboost,single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.1018818969040674
single_hek293t_xgboost_sequence_dnase_h3k4me3_rrbs,xgboost,single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0399923474236169
single_hela_xgboost_sequence_dnase_h3k4me3_rrbs,xgboost,single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1153573737150737
single_hl60_xgboost_sequence_dnase_h3k4me3_rrbs,xgboost,single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.1280196612935352
single_hct116_mlp_sequence_dnase_h3k4me3_rrbs,mlp,single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,3,"[2967, 184]","[635, 184]","[637, 184]",0.046896959398658
single_hek293t_mlp_sequence_dnase_h3k4me3_rrbs,mlp,single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,3,"[1633, 184]","[349, 184]","[351, 184]",0.0214682903557993
single_hela_mlp_sequence_dnase_h3k4me3_rrbs,mlp,single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,3,"[5670, 184]","[1215, 184]","[1216, 184]",0.1074314729948772
single_hl60_mlp_sequence_dnase_h3k4me3_rrbs,mlp,single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,3,"[1453, 184]","[311, 184]","[312, 184]",0.064904176777905
single_hct116_cnn_sequence_dnase_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0098822118489123
single_hek293t_cnn_sequence_dnase_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0291205582903697
single_hela_cnn_sequence_dnase_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0563947003231571
single_hl60_cnn_sequence_dnase_h3k4me3_rrbs_kernel_3,cnn(3|3),single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.068985825003076
single_hct116_cnn_sequence_dnase_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,5,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0420464467561971
single_hek293t_cnn_sequence_dnase_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,5,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0244841227868715
single_hela_cnn_sequence_dnase_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,5,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.0871299704262225
single_hl60_cnn_sequence_dnase_h3k4me3_rrbs_kernel_5,cnn(5|3),single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,5,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.073809573939196
single_hct116_cnn_sequence_dnase_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,7,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0754750659922283
single_hek293t_cnn_sequence_dnase_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,7,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0049294403960885
single_hela_cnn_sequence_dnase_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,7,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1200448685471489
single_hl60_cnn_sequence_dnase_h3k4me3_rrbs_kernel_7,cnn(7|3),single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,7,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0764449369573545
single_hct116_transformer_sequence_dnase_h3k4me3_rrbs,transformer,single,hct116,['hct116'],sequence_dnase_h3k4me3_rrbs,42,3,"[2967, 23, 8]","[635, 23, 8]","[637, 23, 8]",0.0477452573616494
single_hek293t_transformer_sequence_dnase_h3k4me3_rrbs,transformer,single,hek293t,['hek293t'],sequence_dnase_h3k4me3_rrbs,42,3,"[1633, 23, 8]","[349, 23, 8]","[351, 23, 8]",0.0087205197980123
single_hela_transformer_sequence_dnase_h3k4me3_rrbs,transformer,single,hela,['hela'],sequence_dnase_h3k4me3_rrbs,42,3,"[5670, 23, 8]","[1215, 23, 8]","[1216, 23, 8]",0.1041067894630169
single_hl60_transformer_sequence_dnase_h3k4me3_rrbs,transformer,single,hl60,['hl60'],sequence_dnase_h3k4me3_rrbs,42,3,"[1453, 23, 8]","[311, 23, 8]","[312, 23, 8]",0.0902977090107046
single_hct116_linear_all,linear,single,hct116,['hct116'],all,42,3,"[2967, 184]","[635, 184]","[637, 184]",-9257085720.164486
single_hek293t_linear_all,linear,single,hek293t,['hek293t'],all,42,3,"[1633, 184]","[349, 184]","[351, 184]",-0.0786886715327224
