cell_line,model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2
hela,cnn(7|3),sequence_ctcf_dnase,0.1360/0.1765,0.3405/0.3457,0.10515750005491997,-0.013595942302369046,0.1326/0.1687,0.3844/0.3750,0.1430097851694353
hl60,cnn(7|3),sequence_ctcf_dnase,0.0836/0.1083,0.3130/0.3158,0.058654876698754466,-0.0399585282525845,0.0872/0.1113,0.4287/0.4268,0.17400412457572034
hct116,transformer,sequence_ctcf_dnase,0.1346/0.1709,0.3263/0.3453,0.10165824237902721,-0.010078833926695507,0.1248/0.1589,0.3729/0.3564,0.1338033265756734
hek293t,transformer,sequence_ctcf_dnase,0.0960/0.1176,0.2101/0.1355,0.04041056760692452,0.0038788556950505315,0.0963/0.1227,0.2347/0.1745,0.04513648923867919
hela,transformer,sequence_ctcf_dnase,0.1378/0.1783,0.3060/0.3243,0.08629844982277624,-0.00024251017092846716,0.1340/0.1701,0.3616/0.3491,0.12814361345828373
hl60,transformer,sequence_ctcf_dnase,0.0780/0.1036,0.3927/0.4226,0.13917018229103706,-0.003631090841062168,0.0901/0.1121,0.4096/0.4100,0.16285926882596757
hct116,linear,sequence_ctcf_h3k4me3,0.1352/0.1696,0.3405/0.3181,0.11470303568764795,-0.017321531914365806,0.1262/0.1579,0.3813/0.3757,0.14526011254820503
hek293t,linear,sequence_ctcf_h3k4me3,0.1019/0.1223,0.0989/0.0950,-0.03736897830011676,-0.03402701153990817,0.1020/0.1306,0.0800/0.1088,-0.08287180872390398
hela,linear,sequence_ctcf_h3k4me3,0.1420/0.1803,0.2727/0.2839,0.0662529285717316,-0.014354161909463148,0.1380/0.1729,0.3177/0.3079,0.09962729676846649
hl60,linear,sequence_ctcf_h3k4me3,0.0802/0.1046,0.3721/0.3991,0.12309284716069357,-0.026391086161868804,0.0884/0.1124,0.4054/0.4222,0.15884105453642328
hct116,xgboost,sequence_ctcf_h3k4me3,0.1335/0.1666,0.3833/0.3677,0.14550626848903447,-0.005076466539785662,0.1269/0.1597,0.3546/0.3619,0.12488883649074423
hek293t,xgboost,sequence_ctcf_h3k4me3,0.0981/0.1191,0.1356/0.0906,0.01679684003072246,-0.020452882594414246,0.0989/0.1235,0.1864/0.1687,0.032214815395670726
hela,xgboost,sequence_ctcf_h3k4me3,0.1394/0.1770,0.3167/0.3216,0.09997289196224546,0.0007120542418013187,0.1360/0.1704,0.3552/0.3498,0.12537489164177584
hl60,xgboost,sequence_ctcf_h3k4me3,0.0782/0.1026,0.3956/0.4270,0.15602050682045987,0.0013567543948126426,0.0886/0.1108,0.4364/0.4163,0.18204423550782978
hct116,mlp,sequence_ctcf_h3k4me3,0.1365/0.1691,0.3570/0.3337,0.12045132702188754,-0.001062208954746846,0.1295/0.1591,0.3763/0.3592,0.13121120574369172
hek293t,mlp,sequence_ctcf_h3k4me3,0.1012/0.1223,0.0769/0.0861,-0.03741220736297102,-0.03373129822793608,0.1004/0.1254,0.1442/0.1127,0.0022842393793702787
hela,mlp,sequence_ctcf_h3k4me3,0.1427/0.1814,0.2807/0.2710,0.054416294689566214,-0.018675516972361916,0.1342/0.1705,0.3595/0.3478,0.12413025272341494
hl60,mlp,sequence_ctcf_h3k4me3,0.0799/0.1044,0.3638/0.3856,0.1255734833203921,-0.030443563677772012,0.0874/0.1115,0.4210/0.4251,0.17106782084358996
hct116,cnn(3|3),sequence_ctcf_h3k4me3,0.1377/0.1750,0.2588/0.2670,0.05813249926427844,-0.02139528766652732,0.1289/0.1623,0.3178/0.3237,0.09667295770637707
hek293t,cnn(3|3),sequence_ctcf_h3k4me3,0.0982/0.1172,0.2436/0.1854,0.04777174697120934,-0.024196290728927927,0.0984/0.1204,0.2900/0.2335,0.08053741578152285
hela,cnn(3|3),sequence_ctcf_h3k4me3,0.1409/0.1786,0.2898/0.2678,0.08314025933480906,0.014623242352961419,0.1417/0.1760,0.2618/0.2451,0.06708268141235263
hl60,cnn(3|3),sequence_ctcf_h3k4me3,0.0875/0.1089,0.2745/0.2627,0.04848056464920292,-0.025310601682806966,0.0933/0.1145,0.3690/0.3727,0.1265628577876713
hct116,cnn(5|3),sequence_ctcf_h3k4me3,0.1354/0.1716,0.3085/0.3356,0.09391440576919918,-0.01968501953049895,0.1282/0.1618,0.3207/0.3083,0.10199860569605002
hek293t,cnn(5|3),sequence_ctcf_h3k4me3,0.0964/0.1186,0.2374/0.1622,0.02401161724716827,-0.011209371603278728,0.0973/0.1214,0.2874/0.2196,0.06438078464883834
hela,cnn(5|3),sequence_ctcf_h3k4me3,0.1364/0.1792,0.3191/0.3330,0.07699698882922335,-0.023492768796734564,0.1319/0.1689,0.3887/0.3830,0.14023314924601438
hl60,cnn(5|3),sequence_ctcf_h3k4me3,0.0859/0.1115,0.2636/0.2602,0.0026449835874291505,-0.023854760971436018,0.0872/0.1118,0.4371/0.4056,0.167367601297162
hct116,cnn(7|3),sequence_ctcf_h3k4me3,0.1324/0.1675,0.3704/0.3574,0.13649878606646626,0.023440252913468185,0.1282/0.1610,0.3356/0.3271,0.11099619246864567
hek293t,cnn(7|3),sequence_ctcf_h3k4me3,0.0947/0.1189,0.2374/0.1847,0.019846133005166244,-0.051780188924650195,0.0955/0.1219,0.2823/0.2298,0.05673174651007151
hela,cnn(7|3),sequence_ctcf_h3k4me3,0.1373/0.1744,0.3590/0.3531,0.12599072100635955,0.007237278649070533,0.1354/0.1687,0.3818/0.3676,0.14268521181512916
hl60,cnn(7|3),sequence_ctcf_h3k4me3,0.0845/0.1086,0.3244/0.3245,0.05472623072020533,-0.04388717423113364,0.0855/0.1075,0.4803/0.4746,0.2299551169294538
hct116,transformer,sequence_ctcf_h3k4me3,0.1335/0.1677,0.3684/0.3688,0.13510838474299813,0.023371308437275418,0.1247/0.1577,0.3846/0.3627,0.147054723261834
hek293t,transformer,sequence_ctcf_h3k4me3,0.1028/0.1243,0.0199/0.0209,-0.07074906368586453,-0.10728077559773852,0.0968/0.1219,0.2451/0.1497,0.05644917529246807
hela,transformer,sequence_ctcf_h3k4me3,0.1390/0.1771,0.3165/0.3167,0.09877420225180134,0.012233242258096633,0.1351/0.1706,0.3517/0.3520,0.12336124016561745
hl60,transformer,sequence_ctcf_h3k4me3,0.0808/0.1054,0.3718/0.4171,0.10868486796986476,-0.034116405162234464,0.0872/0.1093,0.4515/0.4452,0.20367833015942216
hct116,linear,sequence_ctcf_rrbs,0.1347/0.1695,0.3428/0.3157,0.11624826511174913,-0.015776302490264626,0.1256/0.1579,0.3807/0.3768,0.1448145930946535
hek293t,linear,sequence_ctcf_rrbs,0.1010/0.1214,0.1106/0.0897,-0.02114134443779525,-0.01779937767758666,0.1017/0.1293,0.0983/0.1280,-0.0606633728263426
hela,linear,sequence_ctcf_rrbs,0.1410/0.1790,0.2891/0.2993,0.07881613522362296,-0.0017909552575717802,0.1379/0.1728,0.3183/0.3073,0.09998230374731143
hl60,linear,sequence_ctcf_rrbs,0.0808/0.1048,0.3676/0.3938,0.11939390666073402,-0.030090026661828362,0.0907/0.1151,0.3577/0.3747,0.11747487870342443
hct116,xgboost,sequence_ctcf_rrbs,0.1349/0.1675,0.3750/0.3576,0.13683330125257398,-0.013749433776246156,0.1274/0.1597,0.3590/0.3638,0.12568070928053676
hek293t,xgboost,sequence_ctcf_rrbs,0.0974/0.1182,0.1843/0.1191,0.03160667361297986,-0.005643049012156842,0.0978/0.1228,0.2189/0.1950,0.0433888293775494
hela,xgboost,sequence_ctcf_rrbs,0.1389/0.1767,0.3220/0.3200,0.10275486820551916,0.003494030485075017,0.1354/0.1700,0.3599/0.3519,0.12932711417370446
hl60,xgboost,sequence_ctcf_rrbs,0.0787/0.1028,0.3923/0.4129,0.1525049186092674,-0.0021588338163798237,0.0894/0.1115,0.4209/0.3977,0.17220130309401482
hct116,mlp,sequence_ctcf_rrbs,0.1349/0.1685,0.3577/0.3395,0.12685720878100282,0.005343672804368427,0.1271/0.1578,0.3871/0.3780,0.14626922076762539
hek293t,mlp,sequence_ctcf_rrbs,0.0983/0.1199,0.1421/0.1394,0.002605546129405889,0.006286455264440827,0.0983/0.1244,0.1822/0.1508,0.01828503996357589
hela,mlp,sequence_ctcf_rrbs,0.1392/0.1804,0.2825/0.2902,0.06479834904412118,-0.008293462617806946,0.1341/0.1716,0.3498/0.3271,0.11266175081817198
hl60,mlp,sequence_ctcf_rrbs,0.0787/0.1022,0.4048/0.4326,0.1630338295065843,0.007016782508420194,0.0891/0.1125,0.3973/0.4062,0.15638970181776324
hct116,cnn(3|3),sequence_ctcf_rrbs,0.1360/0.1726,0.2934/0.2997,0.08356226143817957,0.00403447450737382,0.1284/0.1620,0.3170/0.3339,0.09927046850671417
hek293t,cnn(3|3),sequence_ctcf_rrbs,0.0953/0.1176,0.2355/0.1472,0.041043145623911315,-0.03092489207622595,0.0965/0.1214,0.2748/0.1825,0.06388291734733276
hela,cnn(3|3),sequence_ctcf_rrbs,0.1408/0.1782,0.2962/0.2806,0.0870765976080532,0.018559580626205552,0.1412/0.1752,0.2758/0.2588,0.07488284646497534
hl60,cnn(3|3),sequence_ctcf_rrbs,0.0863/0.1080,0.2753/0.2642,0.06507924200440063,-0.008711924327609255,0.0937/0.1163,0.3183/0.3292,0.09961351542718122
hct116,cnn(5|3),sequence_ctcf_rrbs,0.1344/0.1680,0.3714/0.3624,0.1315347304204726,0.01793530512077446,0.1296/0.1614,0.3294/0.3269,0.10667180234525142
hek293t,cnn(5|3),sequence_ctcf_rrbs,0.0957/0.1186,0.2514/0.1749,0.02514855923065218,-0.01007242961979482,0.0961/0.1203,0.3159/0.2364,0.08211602706655963
hela,cnn(5|3),sequence_ctcf_rrbs,0.1382/0.1795,0.3168/0.3283,0.07445138682235986,-0.026038370803598054,0.1328/0.1677,0.4023/0.3954,0.15257964737119245
hl60,cnn(5|3),sequence_ctcf_rrbs,0.0878/0.1119,0.2433/0.2310,-0.003714686464048267,-0.030214431022913435,0.0893/0.1125,0.4027/0.3867,0.15722440266735138
hct116,cnn(7|3),sequence_ctcf_rrbs,0.1309/0.1684,0.3816/0.3604,0.1274267336314846,0.014368200478486526,0.1240/0.1604,0.3634/0.3568,0.11722214547361443
hek293t,cnn(7|3),sequence_ctcf_rrbs,0.0938/0.1145,0.3043/0.2220,0.09043894148661658,0.018812619556800136,0.0956/0.1204,0.2911/0.2342,0.07926809365593701
hela,cnn(7|3),sequence_ctcf_rrbs,0.1358/0.1747,0.3519/0.3415,0.12321739403067766,0.004463951673388644,0.1345/0.1693,0.3694/0.3595,0.13624731955144087
hl60,cnn(7|3),sequence_ctcf_rrbs,0.0850/0.1090,0.3106/0.3097,0.04715059500471375,-0.05146280994662522,0.0869/0.1124,0.4196/0.4274,0.1588210401653476
hct116,transformer,sequence_ctcf_rrbs,0.1347/0.1701,0.3464/0.3423,0.11018790867806849,-0.0015491676276542243,0.1250/0.1592,0.3804/0.3548,0.13068433241853283
hek293t,transformer,sequence_ctcf_rrbs,0.0990/0.1196,0.0982/0.0808,0.008562260196742666,-0.02796945171513132,0.0993/0.1245,0.1582/0.1554,0.015773865882738547
hela,transformer,sequence_ctcf_rrbs,0.1389/0.1797,0.3011/0.3041,0.072543524486673,-0.013997435507031697,0.1353/0.1712,0.3518/0.3471,0.11747376601374926
hl60,transformer,sequence_ctcf_rrbs,0.0818/0.1054,0.3610/0.3904,0.10902960942280093,-0.033771663709298294,0.0895/0.1122,0.4022/0.4027,0.16114684929135492
hct116,linear,sequence_dnase_h3k4me3,0.1343/0.1682,0.3604/0.3421,0.1294933488235781,-0.002531218778435651,0.1273/0.1592,0.3640/0.3577,0.13108697248947143
hek293t,linear,sequence_dnase_h3k4me3,0.1016/0.1220,0.0933/0.0839,-0.03188652917161239,-0.028544562411403795,0.1014/0.1282,0.1069/0.1094,-0.04249619278736283
hela,linear,sequence_dnase_h3k4me3,0.1411/0.1792,0.2851/0.2859,0.07696206606604594,-0.003645024415148801,2116.2800/73762.0578,-0.0282/0.3091,-163905135308.538
hct116,xgboost,sequence_dnase_h3k4me3,0.1325/0.1652,0.4056/0.3868,0.1602593450687273,0.009676610039907163,0.1275/0.1602,0.3477/0.3501,0.12001521487605171
hek293t,xgboost,sequence_dnase_h3k4me3,0.0980/0.1189,0.1433/0.0842,0.01906665661132745,-0.018183066013809257,0.0993/0.1236,0.1839/0.1401,0.030694353147214803
hela,xgboost,sequence_dnase_h3k4me3,0.1396/0.1774,0.3118/0.3162,0.09565349966919201,-0.003607338051252129,0.1355/0.1701,0.3582/0.3531,0.12818668574268255
hl60,xgboost,sequence_dnase_h3k4me3,0.0780/0.1027,0.3944/0.4395,0.15417161824042358,-0.0004921341852236472,0.0891/0.1116,0.4200/0.4051,0.17099250770209518
hct116,mlp,sequence_dnase_h3k4me3,0.1330/0.1687,0.3561/0.3495,0.12432801358267065,0.0028144776060362586,0.1264/0.1591,0.3664/0.3535,0.1317757301894441
hek293t,mlp,sequence_dnase_h3k4me3,0.1022/0.1218,0.0696/0.0498,-0.02925826331548209,-0.025577354180447154,0.1018/0.1250,0.1306/0.0941,0.008596532428240988
hela,mlp,sequence_dnase_h3k4me3,0.1386/0.1787,0.2983/0.2914,0.08210308893757101,0.009011277275642882,0.1337/0.1702,0.3607/0.3353,0.12721836700962086
hl60,mlp,sequence_dnase_h3k4me3,0.0791/0.1030,0.3875/0.4094,0.1496763188440542,-0.006340728154109909,0.0888/0.1121,0.4037/0.4180,0.16231797111441715
hct116,cnn(3|3),sequence_dnase_h3k4me3,0.1385/0.1757,0.2516/0.2542,0.050677822897436164,-0.02884996403336959,0.1301/0.1639,0.2966/0.3002,0.07857500211652868
hek293t,cnn(3|3),sequence_dnase_h3k4me3,0.0981/0.1179,0.1947/0.1282,0.03629436330357372,-0.03567367439656355,0.0985/0.1221,0.2321/0.1831,0.05382048017633423
hela,cnn(3|3),sequence_dnase_h3k4me3,0.1412/0.1796,0.2751/0.2746,0.07274666107508299,0.004229644093235341,0.1403/0.1753,0.2750/0.2589,0.0743365341078106
hl60,cnn(3|3),sequence_dnase_h3k4me3,0.0825/0.1067,0.2977/0.3079,0.08718274511341384,0.013391578781403957,0.0894/0.1139,0.3841/0.3993,0.13632963753253835
hct116,cnn(5|3),sequence_dnase_h3k4me3,0.1372/0.1707,0.3268/0.3372,0.10382319274054275,-0.009776232559155384,0.1310/0.1624,0.3188/0.2935,0.09566939881726422
hek293t,cnn(5|3),sequence_dnase_h3k4me3,0.0971/0.1195,0.2398/0.1687,0.00951307115213007,-0.02570791769831693,0.0959/0.1219,0.2938/0.2326,0.056495080617725235
hela,cnn(5|3),sequence_dnase_h3k4me3,0.1357/0.1797,0.3136/0.3228,0.07162924908505852,-0.028860508540899388,0.1302/0.1684,0.3976/0.3901,0.14609411373105807
hl60,cnn(5|3),sequence_dnase_h3k4me3,0.0873/0.1108,0.2782/0.2748,0.01595263879354991,-0.010547105765315257,0.0874/0.1101,0.4417/0.4206,0.1918012141240173
hct116,cnn(7|3),sequence_dnase_h3k4me3,0.1338/0.1675,0.3782/0.3641,0.13697919928366686,0.02392066613066879,0.1313/0.1628,0.3249/0.3221,0.09088062310851652
hek293t,cnn(7|3),sequence_dnase_h3k4me3,0.0962/0.1169,0.2329/0.1718,0.05201936716745559,-0.01960695476236085,0.0973/0.1218,0.2526/0.2230,0.05916298630705685
hela,cnn(7|3),sequence_dnase_h3k4me3,0.1366/0.1740,0.3631/0.3564,0.1302863933120697,0.011532950954780685,0.1349/0.1688,0.3784/0.3601,0.14173150726427142
hl60,cnn(7|3),sequence_dnase_h3k4me3,0.0838/0.1072,0.3446/0.3485,0.07842820285143626,-0.02018520209990271,0.0852/0.1088,0.4631/0.4684,0.2109391832131684
hct116,transformer,sequence_dnase_h3k4me3,0.1353/0.1696,0.3513/0.3516,0.1149749626303872,0.003237886324664485,0.1263/0.1599,0.3635/0.3290,0.12347598648002889
hek293t,transformer,sequence_dnase_h3k4me3,0.0990/0.1189,0.1533/0.1098,0.02022002539580714,-0.016311686516066848,0.1003/0.1235,0.1823/0.1396,0.03238609172714657
hela,transformer,sequence_dnase_h3k4me3,0.1384/0.1793,0.2971/0.3016,0.07648865012758632,-0.01005230986611838,0.1336/0.1713,0.3472/0.3464,0.1159907856149226
hl60,transformer,sequence_dnase_h3k4me3,0.0788/0.1024,0.4130/0.4571,0.15853957075403158,0.01573829762193235,0.0873/0.1098,0.4498/0.4271,0.1969066215228783
hct116,linear,sequence_dnase_rrbs,0.1338/0.1681,0.3623/0.3406,0.13071523105252358,-0.0013093365494901699,0.1269/0.1593,0.3626/0.3557,0.12981940883287624
hek293t,linear,sequence_dnase_rrbs,0.1009/0.1213,0.1050/0.0847,-0.019640565193677073,-0.01629859843346848,0.1012/0.1278,0.1148/0.1353,-0.035950400715711206
hela,linear,sequence_dnase_rrbs,0.1404/0.1783,0.2978/0.2995,0.08595965300882225,0.005352562527627502,0.1375/0.1723,0.3265/0.3124,0.1060336776746339
hl60,linear,sequence_dnase_rrbs,0.0796/0.1033,0.3890/0.4197,0.14409740931732895,-0.0053865240052334284,116211301.8954/2049408630.1964,0.0581/0.3905,-2.798143201515626e+20
hct116,xgboost,sequence_dnase_rrbs,0.1345/0.1671,0.3790/0.3612,0.1406323437267738,-0.009950391302046335,0.1273/0.1597,0.3558/0.3561,0.12498319930745294
hek293t,xgboost,sequence_dnase_rrbs,0.0971/0.1174,0.2155/0.1504,0.04480669599869702,0.007556973373560316,0.0985/0.1238,0.1780/0.1498,0.027810289358143336
hela,xgboost,sequence_dnase_rrbs,0.1393/0.1774,0.3113/0.3172,0.09602217945715785,-0.003238658263286287,0.1353/0.1698,0.3640/0.3560,0.13160078601234648
hl60,xgboost,sequence_dnase_rrbs,0.0783/0.1031,0.3841/0.4097,0.1468759458822836,-0.00778780654336364,0.0904/0.1126,0.3993/0.3734,0.15515993878026002
hct116,mlp,sequence_dnase_rrbs,0.1354/0.1690,0.3500/0.3240,0.12148847884552194,-2.5057131112449227e-05,0.1286/0.1596,0.3577/0.3495,0.12586339609103636
hek293t,mlp,sequence_dnase_rrbs,0.0990/0.1202,0.1195/0.1075,-0.0020466934069569565,0.0016342157280779812,0.0983/0.1240,0.1822/0.1499,0.024805806170550282
hela,mlp,sequence_dnase_rrbs,0.1427/0.1797,0.3038/0.3035,0.07177779694750908,-0.001314014714419054,0.1358/0.1711,0.3544/0.3263,0.1183015986658047
hl60,mlp,sequence_dnase_rrbs,0.0787/0.1026,0.3951/0.4343,0.1560645111705412,4.746417237710965e-05,0.0896/0.1131,0.3852/0.4011,0.14794425770249275
hct116,cnn(3|3),sequence_dnase_rrbs,0.1362/0.1734,0.2881/0.2755,0.0749711974771815,-0.004556589453624249,0.1284/0.1635,0.2964/0.3046,0.08338719168605224
hek293t,cnn(3|3),sequence_dnase_rrbs,0.0983/0.1192,0.2085/0.1255,0.014014613509611307,-0.05795342419052596,0.0977/0.1217,0.2655/0.2090,0.05976190450748131
hela,cnn(3|3),sequence_dnase_rrbs,0.1442/0.1802,0.2652/0.2553,0.06688592053374331,-0.00163109644810433,0.1429/0.1759,0.2649/0.2510,0.06802510337097512
hl60,cnn(3|3),sequence_dnase_rrbs,0.0836/0.1076,0.2721/0.2838,0.07221707747144723,-0.0015740888605626502,0.0916/0.1171,0.3088/0.3265,0.08690515191150239
hct116,cnn(5|3),sequence_dnase_rrbs,0.1352/0.1693,0.3450/0.3499,0.11764758640756379,0.004048161107865655,0.1308/0.1629,0.3036/0.2898,0.08965063908406135
hek293t,cnn(5|3),sequence_dnase_rrbs,0.0961/0.1206,0.2473/0.1603,-0.008938203881940776,-0.044159192732387775,0.0941/0.1217,0.3169/0.2457,0.05940863685100106
hela,cnn(5|3),sequence_dnase_rrbs,0.1360/0.1752,0.3438/0.3454,0.11754206979630455,0.01705231217034664,0.1357/0.1704,0.3542/0.3489,0.1250687830402536
hl60,cnn(5|3),sequence_dnase_rrbs,0.0845/0.1086,0.2468/0.2464,0.054189928525125386,0.027690183966260218,0.0913/0.1142,0.3666/0.3547,0.13044642946818308
hct116,cnn(7|3),sequence_dnase_rrbs,0.1306/0.1667,0.3930/0.3705,0.1450582930242308,0.031999759871232714,0.1263/0.1626,0.3182/0.3168,0.09335189409419231
hek293t,cnn(7|3),sequence_dnase_rrbs,0.0962/0.1168,0.2507/0.1762,0.0546886577439708,-0.016937664185845636,0.0977/0.1216,0.2614/0.2018,0.061350511570069544
hela,cnn(7|3),sequence_dnase_rrbs,0.1369/0.1747,0.3528/0.3405,0.12342053439006251,0.00466709203277349,0.1354/0.1693,0.3706/0.3548,0.13651039741711912
hl60,cnn(7|3),sequence_dnase_rrbs,0.0852/0.1099,0.3023/0.3047,0.03069838613048337,-0.0679150188208556,0.0874/0.1117,0.4296/0.4255,0.16816593692590698
hct116,transformer,sequence_dnase_rrbs,0.1337/0.1693,0.3476/0.3458,0.11804866021901472,0.006311583913292007,0.1250/0.1589,0.3692/0.3399,0.1343806647565028
hek293t,transformer,sequence_dnase_rrbs,0.0993/0.1197,0.0778/0.0657,0.005941408614487775,-0.030590303297386212,0.0994/0.1243,0.1621/0.1448,0.01896434182950757
hela,transformer,sequence_dnase_rrbs,0.1378/0.1792,0.2971/0.3087,0.0768950593768426,-0.009645900616862102,0.1334/0.1705,0.3583/0.3511,0.12468095246268784
hl60,transformer,sequence_dnase_rrbs,0.0783/0.1028,0.4006/0.4360,0.15277386926659597,0.009972596134496747,0.0900/0.1121,0.4048/0.3978,0.1631449143434094
hct116,linear,sequence_h3k4me3_rrbs,0.1342/0.1684,0.3572/0.3308,0.12715294533244936,-0.004871622269564391,0.1265/0.1589,0.3669/0.3593,0.13427747086959008
hek293t,linear,sequence_h3k4me3_rrbs,0.1026/0.1229,0.0720/0.0654,-0.04790415323754882,-0.04456218647734023,0.1034/0.1312,0.0729/0.1012,-0.09217734323795135
hela,linear,sequence_h3k4me3_rrbs,0.1406/0.1787,0.2939/0.2950,0.08240486249165413,0.0017977720104593864,5409.9395/188568.6486,0.0282/0.3070,-1071187483489.8691
hl60,linear,sequence_h3k4me3_rrbs,0.0798/0.1036,0.3874/0.4244,0.14008625079749848,-0.0093976825250639,0.0893/0.1134,0.3862/0.4011,0.1429125365817776
hct116,xgboost,sequence_h3k4me3_rrbs,0.1332/0.1664,0.3856/0.3676,0.1480816831966264,-0.0025010518321937347,0.1265/0.1592,0.3624/0.3566,0.13066366494712367
hek293t,xgboost,sequence_h3k4me3_rrbs,0.0982/0.1190,0.1424/0.0882,0.018895481401320913,-0.018354241223815793,0.0999/0.1240,0.1594/0.1391,0.023557815451273667
hela,xgboost,sequence_h3k4me3_rrbs,0.1395/0.1771,0.3154/0.3176,0.0986253750439331,-0.0006354626765110449,0.1353/0.1697,0.3647/0.3566,0.13225376639392206
hl60,xgboost,sequence_h3k4me3_rrbs,0.0783/0.1032,0.3837/0.4236,0.14643714340311798,-0.008226609022529252,0.0895/0.1118,0.4189/0.3985,0.16789566867139838
hct116,mlp,sequence_h3k4me3_rrbs,0.1346/0.1681,0.3628/0.3420,0.13093741452860896,0.009423878551974574,0.1277/0.1592,0.3629/0.3464,0.1303817409300434
hek293t,mlp,sequence_h3k4me3_rrbs,0.0991/0.1213,0.0627/0.0769,-0.01954415201783588,-0.015863242882800943,0.1001/0.1257,0.1037/0.0785,-0.002727977848819396
hela,mlp,sequence_h3k4me3_rrbs,0.1382/0.1791,0.2931/0.2985,0.077988679676534,0.004896868014605871,0.1348/0.1719,0.3413/0.3236,0.1101318722612118
hl60,mlp,sequence_h3k4me3_rrbs,0.0780/0.1021,0.4054/0.4371,0.16432943562170998,0.008312388623545885,0.0887/0.1125,0.3971/0.4124,0.15640758889173523
hct116,cnn(3|3),sequence_h3k4me3_rrbs,0.1381/0.1730,0.2833/0.2743,0.0789239478337822,-0.0006038390970235508,0.1314/0.1638,0.2890/0.2850,0.0791430453839308
hek293t,cnn(3|3),sequence_h3k4me3_rrbs,0.0976/0.1178,0.2009/0.1323,0.03763394698444966,-0.034334090715687604,0.0980/0.1221,0.2362/0.1878,0.05450853536328193
hela,cnn(3|3),sequence_h3k4me3_rrbs,0.1429/0.1796,0.2728/0.2705,0.07349820094656756,0.004981183964719915,0.1422/0.1758,0.2632/0.2542,0.06871526056611865
hl60,cnn(3|3),sequence_h3k4me3_rrbs,0.0840/0.1078,0.2923/0.2878,0.06863829799794052,-0.00515286833406936,0.0907/0.1142,0.3805/0.3716,0.13066822739516049
hct116,cnn(5|3),sequence_h3k4me3_rrbs,0.1336/0.1741,0.3158/0.2803,0.06709852158190288,-0.04650090371779525,0.1250/0.1624,0.3430/0.3072,0.0957677975742417
hek293t,cnn(5|3),sequence_h3k4me3_rrbs,0.0953/0.1198,0.2413/0.1612,0.004486456248356752,-0.030734532602090248,0.0959/0.1222,0.2871/0.2611,0.052432396802545966
hela,cnn(5|3),sequence_h3k4me3_rrbs,0.1355/0.1808,0.3049/0.3256,0.0607733904200245,-0.03971636720593341,0.1306/0.1707,0.3764/0.3768,0.1224263765749174
hl60,cnn(5|3),sequence_h3k4me3_rrbs,0.0866/0.1097,0.3103/0.3146,0.03529357286386914,0.00879382830500397,0.0909/0.1120,0.4223/0.4013,0.1647215675772279
hct116,cnn(7|3),sequence_h3k4me3_rrbs,0.1317/0.1680,0.3791/0.3616,0.13140731563568187,0.01834878248268379,0.1259/0.1616,0.3350/0.3299,0.10392127120782746
hek293t,cnn(7|3),sequence_h3k4me3_rrbs,0.0963/0.1174,0.2703/0.2085,0.04439656324697938,-0.027229758682837057,0.0973/0.1213,0.2885/0.2474,0.06563422563259058
hela,cnn(7|3),sequence_h3k4me3_rrbs,0.1373/0.1749,0.3494/0.3379,0.12090944689061034,0.0021560045333213207,0.1360/0.1694,0.3699/0.3523,0.13556989682432918
hl60,cnn(7|3),sequence_h3k4me3_rrbs,0.0836/0.1075,0.3348/0.3305,0.0728613054571543,-0.025752099494184666,0.0853/0.1089,0.4675/0.4577,0.20967796441953457
hct116,transformer,sequence_h3k4me3_rrbs,0.1350/0.1679,0.3680/0.3504,0.1321623773995696,0.02042530109384688,0.1279/0.1597,0.3564/0.3297,0.1250656430930709
hek293t,transformer,sequence_h3k4me3_rrbs,0.0988/0.1201,0.0997/0.0445,-0.00044241799017630257,-0.03697412990205029,0.0978/0.1228,0.2137/0.1401,0.042839062786680704
hela,transformer,sequence_h3k4me3_rrbs,0.1402/0.1778,0.3071/0.3112,0.09165908907723941,0.005118129083534706,0.1365/0.1710,0.3472/0.3393,0.11899317580113222
hl60,transformer,sequence_h3k4me3_rrbs,0.0800/0.1041,0.3851/0.4281,0.13180886975853268,-0.01099240337356655,0.0867/0.1096,0.4472/0.4529,0.19902316341284665
hct116,linear,sequence_ctcf_dnase_h3k4me3,0.1353/0.1696,0.3418/0.3194,0.11497329401438372,-0.017051273587630034,0.1268/0.1586,0.3729/0.3702,0.1374097864463003
hek293t,linear,sequence_ctcf_dnase_h3k4me3,0.1018/0.1223,0.0990/0.0954,-0.03675552763935941,-0.033413560879150817,0.1019/0.1306,0.0804/0.1094,-0.08249644018546798
hela,linear,sequence_ctcf_dnase_h3k4me3,0.1420/0.1803,0.2727/0.2838,0.06622330715812486,-0.014383783323069887,618.7543/12698.9772,-0.0154/0.3066,-4858072558.908395
hct116,xgboost,sequence_ctcf_dnase_h3k4me3,0.1335/0.1669,0.3799/0.3660,0.14327821546018482,-0.007304519568635315,0.1275/0.1597,0.3555/0.3489,0.12504948469820032
hek293t,xgboost,sequence_ctcf_dnase_h3k4me3,0.0981/0.1191,0.1356/0.0906,0.01679684003072246,-0.020452882594414246,0.0989/0.1235,0.1864/0.1687,0.032214815395670726
