model,environment,MAE/RMSE,Pearson/Spearman,R2,delta_R2,validation_MAE/RMSE,validation_Pearson/Spearman,validation_R2,test_cell_line
cnn(7|3),sequence_ctcf_dnase,0.1099/0.1376,-0.1119/-0.0658,-0.3188588845293028,0.14976302944351993,0.1319/0.1654,0.3306/0.3224,0.10922548592627024,hct116
cnn(7|3),sequence_ctcf_dnase,0.1435/0.1850,0.0143/0.0086,-0.03179474349609035,-0.024764574196751266,0.0934/0.1173,0.1984/0.1793,0.030876467810321828,hl60
cnn(7|3),sequence_ctcf_dnase,0.0879/0.1133,0.1846/0.1511,0.0029957567612477476,-0.038421539028792195,0.1299/0.1639,0.3170/0.2987,0.09894408921788633,hl60
transformer,sequence_ctcf_dnase,0.1327/0.1645,0.2907/0.2969,0.08246091734236516,-0.015537075801162592,0.1221/0.1591,0.2167/0.1644,0.04635018278542391,hct116
transformer,sequence_ctcf_dnase,0.0931/0.1172,0.1371/0.0728,-0.06638689700472766,0.040019481814683955,0.1317/0.1648,0.3100/0.3040,0.08906478822218811,hct116
transformer,sequence_ctcf_dnase,0.1449/0.1821,0.1018/0.1005,6.591056004368046e-05,0.006627689026860728,0.0956/0.1184,0.1202/0.1348,0.012662431798894813,hela
transformer,sequence_ctcf_dnase,0.1176/0.1459,-0.1845/-0.1411,-0.48265019470804416,0.0033405507468335927,0.1303/0.1636,0.3587/0.3604,0.12778400349535013,hl60
linear,sequence_ctcf_h3k4me3,0.1323/0.1637,0.3049/0.3082,0.09119823433132979,-0.005652469033881946,0.1247/0.1611,0.1781/0.1631,0.022515014352487817,hct116
linear,sequence_ctcf_h3k4me3,0.1433/0.1809,0.1422/0.1414,0.013323211181806016,0.006031869595748085,0.0960/0.1203,0.0604/0.0806,-0.01863799844472669,hct116
linear,sequence_ctcf_h3k4me3,0.0879/0.1111,0.2822/0.2807,0.041228183972936705,0.012613268403762756,0.1331/0.1669,0.2617/0.2485,0.06556343374520435,hct116
linear,sequence_ctcf_h3k4me3,0.1136/0.1441,-0.1675/-0.1259,-0.44739684505511024,0.005329597467877312,0.1290/0.1647,0.3443/0.3446,0.11659379990449747,hl60
xgboost,sequence_ctcf_h3k4me3,0.1138/0.1439,-0.1848/-0.1409,-0.4430889145785155,0.015577250859735381,0.1269/0.1628,0.3726/0.3831,0.13634204748485867,hct116
xgboost,sequence_ctcf_h3k4me3,0.0905/0.1142,0.1849/0.1655,-0.013066379346807766,0.003060257319571491,0.1305/0.1643,0.3101/0.2993,0.09501473903195734,hct116
xgboost,sequence_ctcf_h3k4me3,0.1440/0.1823,0.0892/0.0865,-0.0022142638087052635,-0.003985125489928465,0.0947/0.1181,0.1386/0.1553,0.018380812635154564,hela
xgboost,sequence_ctcf_h3k4me3,0.1318/0.1634,0.3148/0.3177,0.09442572338144639,-0.007842945046745986,0.1227/0.1589,0.2222/0.1833,0.04858537709940758,hl60
mlp,sequence_ctcf_h3k4me3,0.1336/0.1644,0.2945/0.2911,0.08348696852150017,-0.009280224390874725,0.1229/0.1593,0.2226/0.1897,0.043783758234625436,hct116
mlp,sequence_ctcf_h3k4me3,0.1439/0.1827,0.0746/0.0775,-0.006213685330547891,-0.01075585097393772,0.0939/0.1201,0.0711/0.0832,-0.014341903433897185,hela
mlp,sequence_ctcf_h3k4me3,0.0883/0.1128,0.1923/0.1871,0.012548335842865743,-0.015752664329832355,0.1303/0.1675,0.2723/0.2637,0.058486821914005116,hela
mlp,sequence_ctcf_h3k4me3,0.1149/0.1441,-0.1507/-0.1119,-0.44735676781059674,-0.050751910914411,0.1307/0.1650,0.3411/0.3461,0.11322689072530889,hela
cnn(3|3),sequence_ctcf_h3k4me3,0.1449/0.1848,-0.0141/-0.0088,-0.029646361038806024,-0.005992425153120262,0.0930/0.1164,0.2178/0.2211,0.046453188635177556,hct116
cnn(3|3),sequence_ctcf_h3k4me3,0.1336/0.1686,0.2033/0.2209,0.036599156327575044,-0.009651676748455351,0.1205/0.1587,0.2334/0.1932,0.05059929245161365,hek293t
cnn(3|3),sequence_ctcf_h3k4me3,0.0902/0.1152,0.1103/0.0817,-0.030278505279141,0.0730019364549328,0.1338/0.1674,0.2490/0.2464,0.06024623136159324,hela
cnn(3|3),sequence_ctcf_h3k4me3,0.1103/0.1365,-0.1292/-0.0975,-0.2987209112122722,-0.06053667062822754,0.1328/0.1687,0.2723/0.2798,0.07248528817589206,hl60
cnn(5|3),sequence_ctcf_h3k4me3,0.1455/0.1840,0.0037/0.0077,-0.021191043096395523,0.021650750253069395,0.0935/0.1163,0.2209/0.2054,0.04874979148574066,hct116
cnn(5|3),sequence_ctcf_h3k4me3,0.1094/0.1377,-0.1466/-0.1107,-0.32046055906521986,0.046841355774617455,0.1285/0.1650,0.3434/0.3574,0.11355850277815449,hek293t
cnn(5|3),sequence_ctcf_h3k4me3,0.0866/0.1110,0.2311/0.2500,0.04395827969978372,0.02612556121834342,0.1307/0.1651,0.2982/0.2873,0.08568498240323286,hela
cnn(5|3),sequence_ctcf_h3k4me3,0.1357/0.1661,0.2690/0.2832,0.06482071074755391,-0.014324670682207885,0.1247/0.1587,0.2404/0.1875,0.051342304192713795,hl60
cnn(7|3),sequence_ctcf_h3k4me3,0.1163/0.1447,-0.1561/-0.1428,-0.4588366955547998,0.009785218418022934,0.1310/0.1639,0.3678/0.3732,0.12547275034409577,hek293t
cnn(7|3),sequence_ctcf_h3k4me3,0.1337/0.1642,0.3025/0.3127,0.08593306709906157,-0.025631440920493853,0.1235/0.1586,0.2318/0.1889,0.0518006096803062,hek293t
cnn(7|3),sequence_ctcf_h3k4me3,0.0870/0.1114,0.2410/0.2463,0.03629476288017608,-0.005122532909863864,0.1315/0.1642,0.3121/0.2995,0.09534649586375388,hek293t
cnn(7|3),sequence_ctcf_h3k4me3,0.1433/0.1849,0.0263/0.0218,-0.03111355816398187,-0.024083388864642785,0.0938/0.1176,0.1803/0.1605,0.027172522861786175,hela
transformer,sequence_ctcf_h3k4me3,0.0884/0.1127,0.1722/0.1302,0.014559667681009247,0.12096604650042087,0.1317/0.1653,0.2905/0.2818,0.08391891879147662,hct116
transformer,sequence_ctcf_h3k4me3,0.1452/0.1820,0.0947/0.0964,0.0008435595251968797,0.007405337992013927,0.0953/0.1185,0.1080/0.1392,0.011575873177042673,hek293t
transformer,sequence_ctcf_h3k4me3,0.1308/0.1653,0.2936/0.2993,0.07330908630958466,-0.02468890683394309,0.1212/0.1582,0.2649/0.2208,0.05666052289290757,hl60
transformer,sequence_ctcf_h3k4me3,0.1109/0.1410,-0.1681/-0.1378,-0.38490483100821016,0.10108591444666759,0.1268/0.1622,0.3804/0.3858,0.14301694006237653,hl60
linear,sequence_ctcf_rrbs,0.0888/0.1119,0.2694/0.2690,0.027770503012260028,-0.0008444125569139205,0.1326/0.1664,0.2706/0.2539,0.07100533675930776,hek293t
linear,sequence_ctcf_rrbs,0.1437/0.1817,0.1084/0.1155,0.0037959575601040907,-0.0034953840259538405,0.0957/0.1200,0.0742/0.0964,-0.013285638298560443,hek293t
linear,sequence_ctcf_rrbs,0.1137/0.1437,-0.1694/-0.1293,-0.439822695403705,0.01290374711928255,0.1289/0.1648,0.3433/0.3449,0.11583378221823237,hl60
linear,sequence_ctcf_rrbs,0.1321/0.1636,0.3076/0.3097,0.09212334751417295,-0.004727355851038784,0.1245/0.1609,0.1815/0.1668,0.02467821731940434,hl60
xgboost,sequence_ctcf_rrbs,0.1442/0.1828,0.0541/0.0484,-0.008217284791924628,-0.00998814647314783,0.0948/0.1184,0.1258/0.1423,0.013751847482514679,hct116
xgboost,sequence_ctcf_rrbs,0.1134/0.1431,-0.1860/-0.1399,-0.4269160475499556,0.03175011788829529,0.1268/0.1631,0.3688/0.3795,0.1333754888742077,hct116
xgboost,sequence_ctcf_rrbs,0.0902/0.1142,0.1841/0.1718,-0.012035871423166755,0.004090765243212502,0.1305/0.1643,0.3098/0.3008,0.09490595622120745,hct116
xgboost,sequence_ctcf_rrbs,0.1327/0.1642,0.3039/0.3090,0.08524036969266457,-0.017028298735527803,0.1231/0.1589,0.2206/0.1804,0.04842716138370784,hek293t
mlp,sequence_ctcf_rrbs,0.1328/0.1643,0.2961/0.2954,0.08474944975049592,-0.008017743161878976,0.1235/0.1597,0.2047/0.1812,0.039285998515065534,hct116
mlp,sequence_ctcf_rrbs,0.0905/0.1155,0.1665/0.1650,-0.035030547676532464,-0.06333154784923056,0.1312/0.1671,0.2681/0.2569,0.06325705828315209,hek293t
mlp,sequence_ctcf_rrbs,0.1129/0.1398,-0.1554/-0.1293,-0.36126205834764047,0.03534279854854527,0.1315/0.1658,0.3246/0.3298,0.10511944841054621,hek293t
mlp,sequence_ctcf_rrbs,0.1459/0.1823,0.0470/0.0405,-0.00202173532776162,-0.0065639009711514484,0.0947/0.1192,0.0865/0.0930,0.0005681264898270699,hl60
cnn(3|3),sequence_ctcf_rrbs,0.1340/0.1680,0.2125/0.2251,0.0425483658645327,-0.0037024672114976953,0.1217/0.1593,0.2138/0.1833,0.043326586758041685,hct116
cnn(3|3),sequence_ctcf_rrbs,0.0916/0.1166,0.0902/0.0544,-0.05524741085489815,0.04803303087917565,0.1341/0.1672,0.2540/0.2512,0.062235997733357196,hct116
cnn(3|3),sequence_ctcf_rrbs,0.1083/0.1349,-0.1195/-0.0775,-0.2687464278963787,-0.030562187312334066,0.1323/0.1690,0.2694/0.2786,0.07020198326217841,hct116
cnn(3|3),sequence_ctcf_rrbs,0.1450/0.1839,-0.0181/-0.0142,-0.02033949220644171,0.00331444367924405,0.0947/0.1169,0.2062/0.1805,0.0389373608629946,hl60
cnn(5|3),sequence_ctcf_rrbs,0.1453/0.1841,-0.0048/-0.0011,-0.022544608323102233,0.020297185026362685,0.0931/0.1170,0.2024/0.1970,0.03650085776152345,hct116
cnn(5|3),sequence_ctcf_rrbs,0.0902/0.1158,0.1849/0.1803,-0.04129781518122022,-0.05913053366266052,0.1329/0.1663,0.3019/0.2907,0.07216488019718681,hek293t
cnn(5|3),sequence_ctcf_rrbs,0.1331/0.1661,0.2683/0.2767,0.06425569134328168,-0.014889690086480112,0.1211/0.1583,0.2446/0.1996,0.05536266056609107,hek293t
cnn(5|3),sequence_ctcf_rrbs,0.1128/0.1417,-0.1422/-0.1252,-0.3981426361952374,-0.030840721355400058,0.1301/0.1654,0.3324/0.3522,0.10860820958482276,hl60
cnn(7|3),sequence_ctcf_rrbs,0.1480/0.1854,0.0387/0.0306,-0.03637721297100782,-0.029347043671668738,0.0932/0.1174,0.2207/0.1839,0.030657490410351707,hct116
cnn(7|3),sequence_ctcf_rrbs,0.1151/0.1444,-0.1609/-0.1405,-0.45292026100131055,0.01570165297151216,0.1302/0.1642,0.3578/0.3638,0.12173129892790802,hela
cnn(7|3),sequence_ctcf_rrbs,0.1356/0.1655,0.2793/0.2927,0.07139447427291279,-0.04017003374664263,0.1244/0.1593,0.2171/0.1733,0.04378526071081368,hela
cnn(7|3),sequence_ctcf_rrbs,0.0865/0.1114,0.2210/0.2410,0.03635082254211208,-0.005066473247927861,0.1304/0.1641,0.3133/0.2995,0.09689333535302613,hela
transformer,sequence_ctcf_rrbs,0.0919/0.1149,0.1533/0.1088,-0.025503214462754054,0.08090316435665756,0.1307/0.1648,0.2980/0.2992,0.08863435103862449,hct116
transformer,sequence_ctcf_rrbs,0.1315/0.1645,0.2882/0.2927,0.0826742061606226,-0.015323786982905152,0.1214/0.1588,0.2335/0.1777,0.05028329250173347,hek293t
transformer,sequence_ctcf_rrbs,0.1442/0.1825,0.0882/0.0869,-0.004989288432028838,0.0015724900347882098,0.0949/0.1185,0.1165/0.1373,0.012338982293810585,hek293t
transformer,sequence_ctcf_rrbs,0.1199/0.1497,-0.1964/-0.1483,-0.5617751147120842,-0.07578436925720644,0.1292/0.1624,0.3775/0.3803,0.14128620898568334,hl60
linear,sequence_dnase_h3k4me3,0.0891/0.1118,0.2934/0.2967,0.03007369419074546,0.0014587786215715104,0.1332/0.1673,0.2554/0.2440,0.06149068137432945,hek293t
linear,sequence_dnase_h3k4me3,0.1142/0.1447,-0.1793/-0.1417,-0.45927911656010734,-0.006552674037119788,0.1289/0.1648,0.3431/0.3452,0.115643496701058,hek293t
linear,sequence_dnase_h3k4me3,0.1429/0.1813,0.1383/0.1370,0.008926062910018628,0.0016347213239606972,0.0960/0.1202,0.0602/0.0943,-0.016042693200448488,hela
xgboost,sequence_dnase_h3k4me3,0.0908/0.1141,0.2261/0.2216,-0.010200296477362869,0.005926340189016388,0.1307/0.1646,0.3048/0.2912,0.09159417614796961,hct116
xgboost,sequence_dnase_h3k4me3,0.1320/0.1636,0.3298/0.3287,0.09262464792114311,-0.009644020507049267,0.1235/0.1593,0.2113/0.1806,0.044310699777505236,hek293t
xgboost,sequence_dnase_h3k4me3,0.1429/0.1819,0.1293/0.1273,0.002270001993739945,0.0004991403125167437,0.0949/0.1183,0.1257/0.1383,0.015182644688596425,hela
xgboost,sequence_dnase_h3k4me3,0.1145/0.1451,-0.1974/-0.1567,-0.4667874103841432,-0.00812124494589228,0.1264/0.1623,0.3813/0.3912,0.14251917640464495,hl60
mlp,sequence_dnase_h3k4me3,0.1342/0.1645,0.2938/0.2946,0.08185456607044195,-0.010912626841932949,0.1236/0.1594,0.2172/0.1838,0.04226284896812993,hct116
mlp,sequence_dnase_h3k4me3,0.0925/0.1162,0.2142/0.2191,-0.047870899002759204,-0.0761718991754573,0.1339/0.1678,0.2503/0.2344,0.055831486522912144,hek293t
mlp,sequence_dnase_h3k4me3,0.1122/0.1408,-0.1643/-0.1432,-0.3806751789541829,0.01592967794200284,0.1304/0.1648,0.3401/0.3378,0.11558388977326395,hek293t
mlp,sequence_dnase_h3k4me3,0.1442/0.1828,0.0565/0.0557,-0.008116358717892513,-0.012658524361282342,0.0959/0.1200,0.0285/0.0325,-0.013797100263782447,hl60
cnn(3|3),sequence_dnase_h3k4me3,0.1447/0.1841,-0.0083/-0.0103,-0.02209995366383577,0.0015539822218499921,0.0949/0.1174,0.1732/0.1530,0.02944917219566967,hct116
cnn(3|3),sequence_dnase_h3k4me3,0.1085/0.1325,-0.1192/-0.0738,-0.22320290393744946,0.014981336646595178,0.1344/0.1691,0.2631/0.2752,0.06859305036736552,hek293t
cnn(3|3),sequence_dnase_h3k4me3,0.1352/0.1685,0.1949/0.1989,0.03701895782469167,-0.009231875251338728,0.1232/0.1597,0.1977/0.1879,0.038528011787844374,hela
cnn(3|3),sequence_dnase_h3k4me3,0.0913/0.1164,0.1323/0.1419,-0.05172813454613423,0.05155230718793957,0.1324/0.1677,0.2465/0.2475,0.056968069477743466,hl60
cnn(5|3),sequence_dnase_h3k4me3,0.1096/0.1389,-0.1243/-0.1038,-0.34403505418923785,0.023266860650599464,0.1288/0.1651,0.3394/0.3592,0.11175053770521237,hela
cnn(5|3),sequence_dnase_h3k4me3,0.0892/0.1125,0.2627/0.2700,0.018007191061282013,0.00017447257984171127,0.1328/0.1663,0.2701/0.2690,0.07234832073130282,hela
cnn(5|3),sequence_dnase_h3k4me3,0.1436/0.1852,0.0332/0.0262,-0.03400852147889544,0.008833271870569481,0.0929/0.1179,0.1851/0.1792,0.022294330413910712,hl60
cnn(5|3),sequence_dnase_h3k4me3,0.1348/0.1660,0.2627/0.2734,0.06583743437018319,-0.013307947059578606,0.1238/0.1585,0.2425/0.2143,0.053763842754269375,hl60
cnn(7|3),sequence_dnase_h3k4me3,0.0894/0.1124,0.3082/0.3151,0.018905065227029283,-0.02251223056301066,0.1325/0.1643,0.3117/0.2966,0.09503238662474423,hela
cnn(7|3),sequence_dnase_h3k4me3,0.1299/0.1649,0.2867/0.3035,0.07773115618907911,-0.03383335183047631,0.1197/0.1591,0.2377/0.1972,0.04607811740811252,hela
cnn(7|3),sequence_dnase_h3k4me3,0.1434/0.1852,0.0511/0.0443,-0.03411988283575984,-0.027089713536420756,0.0930/0.1177,0.1920/0.1507,0.025154719243906665,hela
cnn(7|3),sequence_dnase_h3k4me3,0.1140/0.1455,-0.1605/-0.1374,-0.47558790427344166,-0.006965990300618952,0.1287/0.1640,0.3553/0.3592,0.12391049849009916,hl60
transformer,sequence_dnase_h3k4me3,0.1182/0.1466,-0.1824/-0.1402,-0.49764634726721435,-0.011655601812336602,0.1289/0.1629,0.3694/0.3840,0.1358579138467968,hct116
transformer,sequence_dnase_h3k4me3,0.1329/0.1640,0.3090/0.3145,0.08846237506812582,-0.00953561807540193,0.1243/0.1593,0.2126/0.1761,0.04337754205292155,hct116
transformer,sequence_dnase_h3k4me3,0.0917/0.1153,0.1564/0.0998,-0.03235277972743833,0.07405359909197329,0.1319/0.1656,0.2855/0.2910,0.08010568260872808,hela
transformer,sequence_dnase_h3k4me3,0.1437/0.1823,0.0913/0.0926,-0.0028485488614597987,0.003713229605357249,0.0954/0.1185,0.1086/0.1234,0.01174812740337805,hela
linear,sequence_dnase_rrbs,0.1433/0.1821,0.1068/0.1126,-0.0005628963171371293,-0.00785423790319506,0.0956/0.1196,0.0819/0.1076,-0.006157657832673191,hek293t
linear,sequence_dnase_rrbs,0.1144/0.1444,-0.1821/-0.1450,-0.45382302124740304,-0.0010965787244154868,0.1289/0.1649,0.3411/0.3441,0.1142254375660019,hela
linear,sequence_dnase_rrbs,0.0900/0.1126,0.2797/0.2858,0.016237397638616313,-0.012377517930557635,0.1328/0.1668,0.2636/0.2493,0.06654093944818162,hl60
xgboost,sequence_dnase_rrbs,0.1311/0.1626,0.3315/0.3303,0.10342339924996224,0.001154730821769867,0.1233/0.1590,0.2191/0.1926,0.04684703914447452,hek293t
xgboost,sequence_dnase_rrbs,0.1435/0.1827,0.0856/0.0861,-0.007136542240458121,-0.008907403921681323,0.0951/0.1185,0.1124/0.1230,0.011977178582749937,hek293t
xgboost,sequence_dnase_rrbs,0.0913/0.1145,0.2188/0.2122,-0.017765975952884316,-0.0016393392865050593,0.1306/0.1647,0.3032/0.2968,0.09068827856884809,hela
xgboost,sequence_dnase_rrbs,0.1137/0.1435,-0.1954/-0.1533,-0.43514216761592417,0.023523997822326725,0.1266/0.1630,0.3702/0.3793,0.13433782865224808,hl60
mlp,sequence_dnase_rrbs,0.1332/0.1640,0.3032/0.3023,0.08807621850622571,-0.004690974406149184,0.1249/0.1603,0.1999/0.1704,0.031771348416392065,hct116
mlp,sequence_dnase_rrbs,0.1425/0.1835,0.0989/0.0953,-0.015586780647851795,-0.020128946291241623,0.0937/0.1194,0.0986/0.1327,-0.002455565983589647,hek293t
mlp,sequence_dnase_rrbs,0.1131/0.1397,-0.1699/-0.1437,-0.3606257068074552,0.03597915008873054,0.1315/0.1652,0.3348/0.3295,0.11072487083088445,hela
mlp,sequence_dnase_rrbs,0.0866/0.1102,0.2685/0.2687,0.05736985863817767,0.029068858465479575,0.1311/0.1675,0.2636/0.2543,0.05954163130291468,hela
cnn(3|3),sequence_dnase_rrbs,0.1337/0.1681,0.2143/0.2184,0.04210677147097963,-0.004144061605050764,0.1222/0.1601,0.1909/0.1986,0.03442074440690235,hek293t
cnn(3|3),sequence_dnase_rrbs,0.0916/0.1163,0.1566/0.1815,-0.051111652944577424,0.05216878878949638,0.1333/0.1676,0.2445/0.2452,0.05798067586792566,hek293t
cnn(3|3),sequence_dnase_rrbs,0.1129/0.1377,-0.1415/-0.0976,-0.3203181304580267,-0.08213388987398207,0.1336/0.1693,0.2602/0.2688,0.06681059005814338,hela
cnn(3|3),sequence_dnase_rrbs,0.1452/0.1837,-0.0193/-0.0205,-0.01726956960132897,0.0063843662843567905,0.0951/0.1172,0.1917/0.1777,0.03268485333554971,hela
cnn(5|3),sequence_dnase_rrbs,0.0872/0.1113,0.2859/0.3022,0.03853828030662798,0.02070556182518768,0.1310/0.1658,0.2889/0.2917,0.0776977022303933,hct116
cnn(5|3),sequence_dnase_rrbs,0.1451/0.1840,0.0131/0.0088,-0.020832361905153363,0.022009431444311556,0.0941/0.1170,0.1923/0.1914,0.03688841119644515,hek293t
cnn(5|3),sequence_dnase_rrbs,0.1331/0.1648,0.2816/0.2838,0.07846334552280798,-0.0006820359069538151,0.1223/0.1582,0.2398/0.2117,0.05655001307789509,hela
cnn(5|3),sequence_dnase_rrbs,0.1135/0.1380,-0.1698/-0.1170,-0.32626979034361336,0.041032124496223954,0.1323/0.1653,0.3371/0.3430,0.1095378288884028,hl60
cnn(7|3),sequence_dnase_rrbs,0.1336/0.1643,0.3012/0.2954,0.08492186154756443,-0.026642646471990994,0.1247/0.1594,0.2106/0.1932,0.04214755239404,hct116
cnn(7|3),sequence_dnase_rrbs,0.1122/0.1384,-0.1801/-0.1371,-0.3338525594738364,0.1347693544989863,0.1308/0.1656,0.3306/0.3375,0.10682148585474549,hct116
cnn(7|3),sequence_dnase_rrbs,0.0870/0.1106,0.3043/0.3166,0.05095318257847714,0.009535886788437198,0.1313/0.1644,0.3058/0.2977,0.09342578847246208,hela
cnn(7|3),sequence_dnase_rrbs,0.1461/0.1832,0.0471/0.0431,-0.012736316004026804,-0.00570614670468772,0.0955/0.1172,0.2071/0.1871,0.03391779166266684,hl60
transformer,sequence_dnase_rrbs,0.1310/0.1639,0.2996/0.3008,0.08890456978483907,-0.00909342335868868,0.1204/0.1577,0.2549/0.2099,0.06267457882774763,hct116
transformer,sequence_dnase_rrbs,0.1149/0.1451,-0.1728/-0.1529,-0.4679560636316231,0.018034681823254628,0.1271/0.1626,0.3747/0.3767,0.13870815709577788,hek293t
transformer,sequence_dnase_rrbs,0.1432/0.1830,0.0839/0.0746,-0.01033076499121588,-0.003768986524398832,0.0941/0.1180,0.1467/0.1574,0.02019292477392387,hl60
transformer,sequence_dnase_rrbs,0.0944/0.1179,0.1255/0.0632,-0.07961155214722715,0.02679482667218447,0.1324/0.1650,0.2954/0.3004,0.08642992145025541,hl60
linear,sequence_h3k4me3_rrbs,0.1433/0.1819,0.1108/0.1176,0.0014987674009545593,-0.005792574185103372,0.0960/0.1205,0.0660/0.0994,-0.021718417078738783,hek293t
linear,sequence_h3k4me3_rrbs,0.0897/0.1122,0.2853/0.2904,0.022028055775820565,-0.0065868597933533835,0.1331/0.1670,0.2608/0.2469,0.06499713960787534,hela
linear,sequence_h3k4me3_rrbs,0.1318/0.1635,0.3104/0.3134,0.09320858323258996,-0.0036421201326217734,0.1238/0.1606,0.1871/0.1753,0.02830717362375401,hela
linear,sequence_h3k4me3_rrbs,0.1145/0.1449,-0.1797/-0.1427,-0.46326025921022507,-0.010533816687237518,0.1287/0.1645,0.3477/0.3480,0.11895393721755032,hl60
xgboost,sequence_h3k4me3_rrbs,0.1319/0.1635,0.3284/0.3278,0.09321958518932882,-0.009049083238863553,0.1233/0.1591,0.2158/0.1874,0.0462411333180599,hct116
xgboost,sequence_h3k4me3_rrbs,0.1434/0.1825,0.0981/0.1040,-0.004665718976508693,-0.006436580657731894,0.0951/0.1184,0.1193/0.1277,0.013435949901065447,hela
xgboost,sequence_h3k4me3_rrbs,0.0907/0.1138,0.2230/0.2151,-0.005804029164531599,0.010322607501847658,0.1310/0.1650,0.2969/0.2896,0.0869391333740186,hl60
xgboost,sequence_h3k4me3_rrbs,0.1139/0.1439,-0.1958/-0.1539,-0.4428235793720381,0.015842586066212805,0.1268/0.1630,0.3707/0.3815,0.13481369872131044,hl60
mlp,sequence_h3k4me3_rrbs,0.1126/0.1415,-0.1660/-0.1415,-0.39461970749685515,0.001985149399330588,0.1316/0.1660,0.3206/0.3267,0.10269206004961884,hct116
mlp,sequence_h3k4me3_rrbs,0.1424/0.1819,0.1314/0.1344,0.002135342208726909,-0.002406823434662919,0.0952/0.1195,0.0931/0.1135,-0.004669453914265098,hek293t
mlp,sequence_h3k4me3_rrbs,0.0878/0.1109,0.2693/0.2732,0.04509978829059291,0.016798788117894814,0.1317/0.1679,0.2529/0.2479,0.054874031912402366,hela
mlp,sequence_h3k4me3_rrbs,0.1294/0.1647,0.3050/0.3113,0.08033378923494494,-0.012433403677429955,0.1196/0.1602,0.2132/0.1921,0.032683577678501496,hela
cnn(3|3),sequence_h3k4me3_rrbs,0.1445/0.1842,-0.0060/-0.0077,-0.023045444962513928,0.0006084909231718338,0.0941/0.1176,0.1698/0.1683,0.026949658832892243,hela
cnn(3|3),sequence_h3k4me3_rrbs,0.0908/0.1155,0.1590/0.1704,-0.03646894429413772,0.06681149743993609,0.1330/0.1681,0.2377/0.2419,0.0523487472470886,hela
cnn(3|3),sequence_h3k4me3_rrbs,0.1340/0.1679,0.2148/0.2353,0.04369237161177375,-0.002558461464256645,0.1223/0.1599,0.1935/0.1779,0.03707350608802529,hela
cnn(3|3),sequence_h3k4me3_rrbs,0.1084/0.1345,-0.1147/-0.0761,-0.26057061379123714,-0.0223863732071925,0.1335/0.1692,0.2635/0.2669,0.06801111012160299,hl60
cnn(5|3),sequence_h3k4me3_rrbs,0.0903/0.1160,0.2334/0.2275,-0.044971432646838005,-0.06280415112827831,0.1301/0.1654,0.3204/0.3109,0.08252250438913378,hct116
cnn(5|3),sequence_h3k4me3_rrbs,0.1433/0.1845,0.0464/0.0434,-0.026894777335162434,0.015947016014302484,0.0926/0.1175,0.1895/0.1907,0.0283079194319783,hek293t
cnn(5|3),sequence_h3k4me3_rrbs,0.1321/0.1658,0.2663/0.2733,0.0674224261913875,-0.0117229552383743,0.1209/0.1591,0.2206/0.1921,0.045693876713888915,hela
cnn(5|3),sequence_h3k4me3_rrbs,0.1103/0.1407,-0.1225/-0.1031,-0.3788577673690081,-0.011555852529170796,0.1285/0.1651,0.3410/0.3572,0.11184842850593324,hela
cnn(7|3),sequence_h3k4me3_rrbs,0.1437/0.1852,0.0503/0.0433,-0.034683902145120404,-0.02765373284578132,0.0936/0.1175,0.1901/0.1566,0.029060587376215086,hek293t
cnn(7|3),sequence_h3k4me3_rrbs,0.0905/0.1135,0.2993/0.3088,-0.001068072488025873,-0.042485368278065816,0.1326/0.1649,0.3010/0.2910,0.08837080422040966,hek293t
cnn(7|3),sequence_h3k4me3_rrbs,0.1160/0.1450,-0.1682/-0.1503,-0.46594235132770545,0.0026795626451172616,0.1304/0.1642,0.3567/0.3616,0.12216488738238773,hl60
cnn(7|3),sequence_h3k4me3_rrbs,0.1315/0.1651,0.2801/0.2925,0.07608841951266221,-0.03547608850689321,0.1217/0.1592,0.2298/0.1851,0.04533545696861929,hl60
transformer,sequence_h3k4me3_rrbs,0.1204/0.1479,-0.1724/-0.1296,-0.5243058463006673,-0.038315100845789596,0.1292/0.1627,0.3748/0.3842,0.13741060695413643,hct116
transformer,sequence_h3k4me3_rrbs,0.1331/0.1649,0.3109/0.3160,0.07785762363519111,-0.020140369508336642,0.1237/0.1588,0.2323/0.2021,0.04925128145800506,hek293t
transformer,sequence_h3k4me3_rrbs,0.1441/0.1828,0.0695/0.0651,-0.008355229067838366,-0.001793450601021318,0.0952/0.1186,0.1088/0.1342,0.009486517782879789,hela
transformer,sequence_h3k4me3_rrbs,0.0915/0.1145,0.1607/0.0955,-0.01825886367432905,0.08814751514508257,0.1324/0.1657,0.2815/0.2818,0.0791392069626432,hl60
linear,sequence_ctcf_dnase_h3k4me3,0.1434/0.1809,0.1394/0.1383,0.013047355848381903,0.005756014262323972,0.0961/0.1203,0.0585/0.0792,-0.018708839349861117,hct116
linear,sequence_ctcf_dnase_h3k4me3,0.1136/0.1441,-0.1684/-0.1266,-0.4472608682889312,0.0054655742340563584,0.1292/0.1649,0.3415/0.3432,0.11444126411272859,hek293t
linear,sequence_ctcf_dnase_h3k4me3,0.0880/0.1113,0.2800/0.2786,0.03830339607271993,0.009688480503545982,0.1330/0.1671,0.2596/0.2480,0.06365117176288515,hek293t
